protein,com_id,com_pubchem_id,prob
KLOT,COM00001106,8617,0.1
SIR3,COM00004628,750,0.1
SIR5,COM00004376,2353,0.1
SIR1,COM00000459,1045,0.1
BECN1,COM00004003,1491,0.1
BECN1,COM00003179,243,0.1
BECN1,COM00001117,1102,0.1
SIR3,COM00003147,440473,0.1
CDN2A,COM00004873,8969,0.1
BECN1,COM00004327,760,0.1
SIR3,COM00002137,6912,0.1
SIR3,COM00004625,33032,0.1
SIR5,COM00002683,7991,0.09
KLOT,COM00005500,444863,0.09
SIR3,COM00005017,11047943,0.09
SIR2,COM00004922,5950,0.09
SIR3,COM00002929,14985,0.09
SIR3,COM00002956,46936492,0.09
SIR5,COM00005361,10133,0.09
SIR5,COM00005101,31401,0.09
SIR5,COM00002046,221493,0.09
SIR4,COM00000198,5770,0.09
SIR5,COM00000996,6137,0.09
SIR5,COM00000583,6590,0.09
SIR2,COM00004056,2230,0.09
KLOT,COM00000850,3662,0.09
KLOT,COM00002989,3000346,0.09
SIR5,COM00001719,443884,0.09
SIR5,COM00000101,439685,0.09
SIR3,COM00000140,1123,0.09
BECN1,COM00004407,1103,0.09
SIR4,COM00001195,9750,0.09
SIR2,COM00006015,6054,0.09
SIR2,COM00005421,955,0.09
BECN1,COM00000671,936,0.09
KLOT,COM00006015,6054,0.09
SIR4,COM00001695,289,0.09
SIR4,COM00006167,9996708,0.09
SIR2,COM00001111,453551,0.09
KLOT,COM00000014,6089,0.09
SIR4,COM00002683,7991,0.09
SIR3,COM00002939,199,0.09
KLOT,COM00002956,46936492,0.09
CDN2A,COM00005220,19,0.09
BCL2,COM00004376,2353,0.09
SIR3,COM00001628,3000322,0.09
CDN2A,COM00000850,3662,0.09
SIR4,COM00002137,6912,0.09
CDN2A,COM00001180,2879,0.09
BCL2,COM00004018,25322948,0.09
SIR5,COM00001695,289,0.09
BECN1,COM00001191,5862,0.09
CDN2A,COM00000014,6089,0.09
SIR3,COM00003201,10235,0.09
IGF1,COM00000459,1045,0.09
CDN2A,COM00001076,6021,0.09
SIR3,COM00002335,3034034,0.09
CDN2A,COM00004411,6140,0.09
CDN2A,COM00002226,612,0.09
KLOT,COM00004325,5326566,0.09
SIR3,COM00004406,54670067,0.09
SIR3,COM00005892,3532,0.09
CDN2A,COM00000995,6057,0.09
SIR3,COM00006100,441074,0.09
CDN2A,COM00003218,440995,0.09
SIR3,COM00006015,6054,0.08
SIR4,COM00001891,60961,0.08
CDN2A,COM00004713,7054,0.08
SIR3,COM00001753,1005,0.08
SIR4,COM00004327,760,0.08
SIR2,COM00001117,1102,0.08
IGF1,COM00005220,19,0.08
SIR3,COM00003218,440995,0.08
CDN2A,COM00001997,5870,0.08
IGF1,COM00002226,612,0.08
CDN2A,COM00006015,6054,0.08
SIR5,COM00004730,342,0.08
CDN2A,COM00001117,1102,0.08
SIR3,COM00006167,9996708,0.08
CDN2A,COM00005500,444863,0.08
SIR3,COM00006114,5978,0.08
SIR3,COM00000037,241903,0.08
SIR3,COM00001634,971,0.08
SIR2,COM00004923,6287,0.08
SIR3,COM00004561,46936484,0.08
BECN1,COM00001192,6305,0.08
